NUTS_NAME,Percentage,
Belgium,39.8,
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,46.2,
Vlaams Gewest,38.3,
Prov. Antwerpen,38.9,
Prov. Limburg (BE),33.2,
Prov. Oost-Vlaanderen,39.2,
Prov. Vlaams-Brabant,49.5,
Prov. West-Vlaanderen,32.2,
Région wallonne,40.1,
Prov. Brabant wallon,58.5,
Prov. Hainaut,36.2,
Prov. Liège,39,
Prov. Luxembourg (BE),41.3,
Prov. Namur,38.5,
Extra-Regio NUTS 1,:,
Extra-Regio NUTS 2,:,
Bulgaria,47.6,
Severna i Yugoiztochna Bulgaria,45,
Severozapaden,46.6,
Severen tsentralen,41,
Severoiztochen,48,
Yugoiztochen,44.2,
Yugozapadna i Yuzhna tsentralna Bulgaria,50.3,
Yugozapaden,53.4,
Yuzhen tsentralen,45.6,
Extra-Regio NUTS 1,:,m
Extra-Regio NUTS 2,:,m
Czechia,31.3,
Česko,26.2,
Praha,33.1,
Střední Čechy,26,
Jihozápad,23.5,
Severozápad,21.1,
Severovýchod,24.9,
Jihovýchod,27.3,
Střední Morava,26.5,
Moravskoslezsko,25.8,
Denmark,56.7,
Danmark,56.7,
Hovedstaden,62.3,
Sjælland,54.6,
Syddanmark,55.9,
Midtjylland,53.9,
Nordjylland,54.3,
Germany,52.5,
Baden-Württemberg,50.9,
Bayern,41.2,
Berlin,57.9,
Brandenburg,62.5,
Bremen,49.4,
Hamburg,55.5,
Hessen,57.6,
Mecklenburg-Vorpommern,48.1,
Niedersachsen,53.2,
Nordrhein-Westfalen,60.7,
Rheinland-Pfalz,49.3,
Saarland,48.4,
Sachsen,46.6,
Sachsen-Anhalt,38.6,
Schleswig-Holstein,47,
Thüringen,46.8,
Estonia,65.6,
Eesti,65.6,
Ireland,98.5,
Northern and Western,:,
Southern,:,
Eastern and Midland,:,
Greece,66.3,
Attiki,70.5,
"Nisia Aigaiou, Kriti",60.7,
Voreio Aigaio,56.6,
Notio Aigaio,62.4,
Kriti,61.1,
Voreia Elláda,63.3,
"Anatoliki Makedonia, Thraki",59.6,
Kentriki Makedonia,64.8,
Dytiki Makedonia,58.5,
Ipeiros,66.1,
Kentriki Elláda,67.1,
Thessalia,63.6,
Ionia Nisia,71.7,
Dytiki Elláda,65.3,
Sterea Elláda,70.1,
Peloponnisos,69.7,
Spain,:,
Noroeste,63.4,
Galicia,63.3,
Principado de Asturias,65.9,
Cantabria,59.7,
Noreste,62.2,
País Vasco,62.1,
Comunidad Foral de Navarra,61.4,
La Rioja,59.5,
Aragón,63.7,
Comunidad de Madrid,74.5,
Centro (ES),65.2,
Castilla y León,63.8,
Castilla-La Mancha,65.7,
Extremadura,67.4,
Este,62.5,
Cataluña,63.8,
Comunitat Valenciana,60.5,
Illes Balears,63.5,
Sur,69.7,
Andalucía,69.9,
Región de Murcia,70,
Ciudad de Ceuta,55.9,
Ciudad de Melilla,64.7,
Canarias,69.3,
France,57,
Ile de France,65,
Centre �?Val de Loire,55.7,
Bourgogne-Franche-Comté,53,
Bourgogne,54,
Franche-Comté,51.7,
Normandie,54,
Basse-Normandie,51.8,
Haute-Normandie,55.8,
Hauts-de-France,53.2,
Nord-Pas de Calais,53.5,
Picardie,52.7,
Grand Est,54.9,
Alsace,56.9,
Champagne-Ardenne,52.8,
Lorraine,54.5,
Pays de la Loire,54,
Bretagne,56.7,
Nouvelle-Aquitaine,54.5,
Aquitaine,56,
Limousin,53.1,
Poitou-Charentes,52.3,
Occitanie,56.4,
Languedoc-Roussillon,55.9,
Midi-Pyrénées,56.8,
Auvergne-Rhône-Alpes,57.2,
Auvergne,52.1,
Rhône-Alpes,58.2,
Provence-Alpes-Côte d’Azur,58.1,
Corse,56.1,
RUP FR �?Régions Ultrapériphériques Françaises,52.7,
Guadeloupe,55,
Martinique,53.3,
Guyane,45.1,
La Réunion,53.3,
Mayotte,:,
Croatia,100,d
Hrvatska,100,d
Panonska Hrvatska,:,
Jadranska Hrvatska,100,d
Kontinentalna Hrvatska (NUTS 2016),:,
Grad Zagreb,:,
Sjeverna Hrvatska,:,
Italy,40.6,
Nord-Ovest,36.9,
Piemonte,38.9,
Valle d’Aosta/Vallée d’Aoste,44.9,
Liguria,42.3,
Lombardia,35.2,
Sud,43.5,
Abruzzo,47,
Molise,43.4,
Campania,45.6,
Puglia,40.3,
Basilicata,42.4,
Calabria,42.3,
Isole,43.7,
Sicilia,43.9,
Sardegna,42.9,
Nord-Est,34.9,
Provincia Autonoma di Bolzano/Bozen,32.7,
Provincia Autonoma di Trento,38.2,
Veneto,34.3,
Friuli-Venezia Giulia,38.1,
Emilia-Romagna,34.6,
Centro (IT),44.3,
Toscana,39.8,
Umbria,45.7,
Marche,37.1,
Lazio,48.8,
Cyprus,86.4,
Kýpros,86.4,
Latvia,60.9,
Latvija,60.9,
Lithuania,72.4,
Lietuva,72.4,
Sostinės regionas,:,
Vidurio ir vakarų Lietuvos regionas,:,
Luxembourg,40.1,
Hungary,73.5,
Közép-Magyarország,82.1,
Budapest,83.5,
Pest,78.1,
Dunántúl,70,
Közép-Dunántúl,70.1,
Nyugat-Dunántúl,71.8,
Dél-Dunántúl,68.1,
Alföld és Észak,70.6,
Észak-Magyarország,70.8,
Észak-Alföld,69.7,
Dél-Alföld,71.6,
Malta,77.2,
Netherlands,32.9,
Noord-Nederland,27.8,
Groningen,27.4,
Friesland (NL),27.1,
Drenthe,29.2,
Oost-Nederland,31.5,
Overijssel,29,
Gelderland,33.6,
Flevoland,28.7,
West-Nederland,34.8,
Utrecht (NUTS 2021),39.7,
Noord-Holland,36.4,
Zuid-Holland (NUTS 2021),32.6,
Zeeland,30.5,
Utrecht,:,
Zuid-Holland,:,
Zuid-Nederland,33.4,
Noord-Brabant,33.9,
Limburg (NL),32.2,
Extra-Regio NUTS 1,17.5,
Extra-Regio NUTS 2,17.5,
Austria,29.8,
Ostösterreich,34.2,
Burgenland,27.2,
Niederösterreich,27.8,
Wien,40.8,
Südösterreich,29.3,
Kärnten,25.4,
Steiermark,31.2,
Westösterreich,25.7,
Oberösterreich,23.8,
Salzburg,28.6,
Tirol,26.2,
Vorarlberg,27.6,
Poland,51.3,
Makroregion południowy,48.5,
Małopolskie,47.8,
Śląskie,49.1,
Makroregion północno-zachodni,48.8,
Wielkopolskie,46.9,
Zachodniopomorskie,53.9,
Lubuskie,46.9,
Makroregion południowo-zachodni,50.3,
Dolnośląskie,51.6,
Opolskie,46.6,
Makroregion północny,49.2,
Kujawsko-pomorskie,47.2,
Warmińsko-mazurskie,50,
Pomorskie,50.7,
Makroregion centralny,52.7,
Łódzkie,55.3,
Świętokrzyskie,48.1,
Makroregion wschodni,52.2,
Lubelskie,55,
Podkarpackie,48.7,
Podlaskie,53.7,
Makroregion województwo mazowieckie,59.6,
Warszawski stołeczny,67.7,
Mazowiecki regionalny,52.2,
Portugal,54.2,
Continente,54.1,
Norte,52.9,
Algarve,51.6,
Centro (PT) (NUTS 2021),55.5,
Área Metropolitana de Lisboa (NUTS 2021),55.6,
