Data extracted on 25/06/2025 14:16:28 from [ESTAT],Unnamed: 1,Unnamed: 2
Dataset: ,Distribution of pupils and students enrolled in general and vocational programmes by education level and NUTS 2 region [educ_uoe_enra13__custom_17163448],
Last updated: ,25/04/2025 11:00,
,,
Time frequency,,Annual
Unit of measure,,Percentage
International Standard Classification of Education (ISCED 2011),,Upper secondary education - vocational
TIME,2013,
GEO (Labels),,
European Union - 27 countries (from 2020),:,
European Union - 28 countries (2013-2020),:,
Belgium,60.2,
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,53.8,
Vlaams Gewest,61.7,
Prov. Antwerpen,61.1,
Prov. Limburg (BE),66.8,
Prov. Oost-Vlaanderen,60.8,
Prov. Vlaams-Brabant,50.5,
Prov. West-Vlaanderen,67.8,
Région wallonne,59.9,
Prov. Brabant wallon,41.5,
Prov. Hainaut,63.8,
Prov. Liège,61.0,
Prov. Luxembourg (BE),58.7,
Prov. Namur,61.5,
Extra-Regio NUTS 1,:,
Extra-Regio NUTS 2,:,
Bulgaria,52.4,
Severna i Yugoiztochna Bulgaria,55.0,
Severozapaden,53.4,
Severen tsentralen,59.0,
Severoiztochen,52.0,
Yugoiztochen,55.8,
Yugozapadna i Yuzhna tsentralna Bulgaria,49.7,
Yugozapaden,46.6,
Yuzhen tsentralen,54.4,
Extra-Regio NUTS 1,:,m
Extra-Regio NUTS 2,:,m
Czechia,88.1,
Česko,73.8,
Praha,66.9,
Střední Čechy,74.0,
Jihozápad,76.5,
Severozápad,78.9,
Severovýchod,75.1,
Jihovýchod,72.7,
Střední Morava,73.5,
Moravskoslezsko,74.2,
Denmark,43.3,
Danmark,43.3,
Hovedstaden,37.7,
Sjælland,45.4,
Syddanmark,44.1,
Midtjylland,46.1,
Nordjylland,45.7,
Germany,47.5,
Baden-Württemberg,49.1,
Bayern,58.8,
Berlin,42.1,
Brandenburg,37.5,
Bremen,50.6,
Hamburg,44.5,
Hessen,42.4,
Mecklenburg-Vorpommern,51.9,
Niedersachsen,46.8,
Nordrhein-Westfalen,39.3,
Rheinland-Pfalz,50.7,
Saarland,51.6,
Sachsen,53.4,
Sachsen-Anhalt,61.4,
Schleswig-Holstein,53.0,
Thüringen,53.2,
Estonia,34.4,
Eesti,34.4,
Ireland,1.5,
Northern and Western,:,
Southern,:,
Eastern and Midland,:,
Greece,33.7,
Attiki,29.5,
"Nisia Aigaiou, Kriti",39.3,
Voreio Aigaio,43.4,
Notio Aigaio,37.6,
Kriti,38.9,
Voreia Elláda,36.7,
"Anatoliki Makedonia, Thraki",40.4,
Kentriki Makedonia,35.2,
Dytiki Makedonia,41.5,
Ipeiros,33.9,
Kentriki Elláda,32.9,
Thessalia,36.4,
Ionia Nisia,28.3,
Dytiki Elláda,34.7,
Sterea Elláda,29.9,
Peloponnisos,30.3,
Spain,:,
Noroeste,36.6,
Galicia,36.7,
Principado de Asturias,34.1,
Cantabria,40.3,
Noreste,37.8,
País Vasco,37.9,
Comunidad Foral de Navarra,38.6,
La Rioja,40.5,
Aragón,36.3,
Comunidad de Madrid,25.5,
Centro (ES),34.8,
Castilla y León,36.2,
Castilla-La Mancha,34.3,
Extremadura,32.6,
Este,37.5,
Cataluña,36.2,
Comunitat Valenciana,39.5,
Illes Balears,36.5,
Sur,30.3,
Andalucía,30.1,
Región de Murcia,30.0,
Ciudad de Ceuta,44.1,
Ciudad de Melilla,35.3,
Canarias,30.7,
France,43.0,
Ile de France,35.0,
Centre — Val de Loire,44.3,
Bourgogne-Franche-Comté,47.0,
Bourgogne,46.0,
Franche-Comté,48.3,
Normandie,46.0,
Basse-Normandie,48.2,
Haute-Normandie,44.2,
Hauts-de-France,46.8,
Nord-Pas de Calais,46.5,
Picardie,47.3,
Grand Est,45.1,
Alsace,43.1,
Champagne-Ardenne,47.2,
Lorraine,45.5,
Pays de la Loire,46.0,
Bretagne,43.3,
Nouvelle-Aquitaine,45.5,
Aquitaine,44.0,
Limousin,46.9,
Poitou-Charentes,47.7,
Occitanie,43.6,
Languedoc-Roussillon,44.1,
Midi-Pyrénées,43.2,
Auvergne-Rhône-Alpes,42.8,
Auvergne,47.9,
Rhône-Alpes,41.8,
Provence-Alpes-Côte d’Azur,41.9,
Corse,43.9,
RUP FR — Régions Ultrapériphériques Françaises,47.3,
Guadeloupe,45.0,
Martinique,46.7,
Guyane,54.9,
La Réunion,46.7,
Mayotte,:,
Croatia,:,
Hrvatska,:,
Panonska Hrvatska,:,
Jadranska Hrvatska,:,
Kontinentalna Hrvatska (NUTS 2016),:,
Grad Zagreb,:,
Sjeverna Hrvatska,:,
Italy,59.4,
Nord-Ovest,63.1,
Piemonte,61.1,
Valle d’Aosta/Vallée d’Aoste,55.1,
Liguria,57.7,
Lombardia,64.8,
Sud,56.5,
Abruzzo,53.0,
Molise,56.6,
Campania,54.4,
Puglia,59.7,
