GEO (Codes),GEO (Labels),2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,52.5,54.3,54.2,55.3,56.2,56.8,56.9,56.5,57.3,59.9,61
BE21,Prov. Antwerpen,64,64.1,64.8,63.9,65.5,67.7,69.3,67.7,67.7,70.8,70.5
BE22,Prov. Limburg (BE),64.1,64.1,63.8,64.8,67.1,67.8,68.1,67,68.4,70.3,71.6
BE23,Prov. Oost-Vlaanderen,68.5,68.3,67.6,68.3,68.1,70.4,71.5,71.8,73.9,74.7,73.5
BE24,Prov. Vlaams-Brabant,67.2,67.6,67.5,67.6,67.9,69.6,70.1,68.8,67.8,67.7,67.3
BE25,Prov. West-Vlaanderen,67.3,67.9,68.1,68.6,70,71.6,72.4,71.4,71.9,72.9,73.9
BE31,Prov. Brabant wallon,62.9,62.4,62.8,62.9,64.5,64.3,65.2,64.2,65.7,68,68.3
BE32,Prov. Hainaut,53.8,52.7,53,54.7,54.3,54.7,55.7,55,55.9,55.8,57
BE33,Prov. Liège,57,55.6,55.8,56.1,56.1,57.9,59,59.6,59.7,59.5,57.9
BE34,Prov. Luxembourg (BE),63.3,62.4,61.3,62.2,64.4,64.5,65.3,65.6,66.6,67.1,65
BE35,Prov. Namur,57.7,60.7,57.6,58.4,60.9,61,60.8,61.8,60.7,61.6,62.3
BG31,Severozapaden,54.6,55,56.1,54.8,57.9,58.8,60.2,59.3,60,62.3,61.7
BG32,Severen tsentralen,55.5,57.4,60.4,61.5,63.7,64.6,69.8,68.5,66.7,68,69
BG33,Severoiztochen,56.5,59.8,63.1,62.9,65.4,65.4,67.7,67.1,68.3,71.8,72
BG34,Yugoiztochen,57.5,58,60.6,62.3,65.7,66.8,69.8,67.6,66.5,68.9,69.8
BG41,Yugozapaden,65,66.1,68,68.7,72.1,73.8,75.8,74.1,74,75.9,74.6
BG42,Yuzhen tsentralen,59.4,61.5,61.6,61.9,67,66.8,69.5,67.7,66.4,68.1,69.4
CZ01,Praha,73.7,74.8,74.2,76,78.2,79.6,79.3,77.6,77.6,78.9,78.2
CZ02,Střední Čechy,70,70.7,72.6,73.1,75,76.2,77.1,76.4,75.9,77,75.5
CZ03,Jihozápad,69,70.1,71.8,72.9,74.3,75.2,75.4,74.7,75.6,76.5,75.7
CZ04,Severozápad,64.4,65.5,66.6,69.5,71.2,71.8,72.4,72,71.8,73.1,73.4
CZ05,Severovýchod,66.7,68.7,70.3,72.1,73.2,74.1,74.8,74.2,74.2,74.8,74.4
CZ06,Jihovýchod,68.2,69.2,70.4,72.1,73.3,74.4,74.9,74.7,74.5,75.6,75.6
CZ07,Střední Morava,65.7,67,69.2,70.5,72.3,74.2,73.8,72.8,73.2,74.3,74.9
CZ08,Moravskoslezsko,63.9,65.2,66.1,69.2,71.4,72.8,72.7,71.7,71.4,72.9,72.4
DK01,Hovedstaden,72.7,72.8,73.8,75.1,75.2,75.9,76.8,76.2,76.5,78.5,78.3
DK02,Sjælland,69.6,70.8,71,71,72.2,72.2,73.6,73.1,74.6,75.5,75.4
DK03,Syddanmark,69,69,70.7,70.7,71.7,73.2,73.9,73.3,75.3,75.6,75.1
DK04,Midtjylland,71,71.1,71.9,72.9,73.1,74.6,75.3,74.7,75.4,76.7,76.4
DK05,Nordjylland,69.5,70.5,70.4,70.9,71.8,72.2,72.8,72,74.2,75.4,75.8
DE11,Stuttgart,76,76.9,77.2,78,78.3,79.1,79.5,77.6,77.7,78.8,79
DE12,Karlsruhe,75.3,74.8,75,76,75.6,77,77.8,76.5,76.6,77.3,78.8
DE13,Freiburg,78.4,78.2,77.9,78,78.4,79.2,79.5,78.2,78.6,79.7,80.2
DE14,Tübingen,77.7,77.4,77.9,78.6,79.1,79,79.8,78.2,78.2,80.4,80.5
DE21,Oberbayern,78.6,78.9,78.8,79.6,80.2,80.3,81.2,79.1,79.5,80.8,80.9
DE22,Niederbayern,76.9,77.5,77.8,78.8,79.2,79.1,80.1,78.7,80.2,82,81.4
DE23,Oberpfalz,75.9,77.6,77.1,76.4,77.7,79,79.3,79.2,79.7,80.3,80.2
DE24,Oberfranken,76.3,76.8,76.5,77,77.3,78.3,79.8,80.6,78.2,78.9,81.2
DE25,Mittelfranken,76.2,76.6,76.6,76.3,77.2,77.8,77.7,76,77.5,78.4,79.7
DE26,Unterfranken,76.3,76.4,76.6,77,76.9,78.6,78.9,77.5,79.4,79.1,79.4
DE27,Schwaben,77.2,77.4,77.6,78.7,79,78.8,79.9,80.1,79.8,80.7,81.1
DE30,Berlin,68.6,69,69,71.6,72.8,74.3,74.9,73.3,73.4,75.3,74.1
DE40,Brandenburg,74.8,74.7,75.2,76.8,76.8,77.2,78.1,77,78.2,77.9,76.8
DE50,Bremen,67.5,68.2,67.9,71.1,71.7,71.4,71.9,70.6,69.4,69.8,71
DE60,Hamburg,73.8,74.7,75.1,75.5,76.4,76.4,76.9,75.5,75.8,75.6,75.5
DE71,Darmstadt,74,72.9,73.8,74.1,74.9,75.3,76.3,74.7,73.6,74.8,76.5
DE72,Gießen,72.5,72.8,72.2,73.3,73.5,73,73.7,69.3,72.6,75.8,75.6
DE73,Kassel,73.8,73.4,74.2,75.3,75.9,76.3,77,76,76.1,75.8,76.7
DE80,Mecklenburg-Vorpommern,70.5,71.1,71.7,72.5,73.5,73.2,74.9,75.6,76.7,76.1,76.2
DE91,Braunschweig,70,70.5,71.5,71.3,72.3,73.5,74.4,72.5,73.5,75.4,76.1
DE92,Hannover,73.1,73.2,72.6,72.1,72.7,73.9,75.3,74.5,76,76.6,76.4
DE93,Lüneburg,74.8,75.7,76.1,75.6,76.4,77.6,77.7,74.1,77.5,78.5,78.3
DE94,Weser-Ems,74.4,74.1,73.8,74.5,75.6,76.1,76.5,74.9,74.8,77.8,77.9
DEA1,Düsseldorf,69.3,69.8,69.7,70.3,71.5,71.9,72.5,70.9,71.1,73.3,73.9
DEA2,Köln,69.6,70.5,70.9,72.4,72.6,72.4,73.6,72.9,72.9,74.8,75.2
DEA3,Münster,70.1,70.8,71.9,71.8,71.8,73.8,74.7,74.2,74.2,75.4,74.8
DEA4,Detmold,72.9,72.7,73.1,73.8,74.1,75.1,76,75.4,74.7,75.2,77.2
DEA5,Arnsberg,69.2,70.1,69.9,69.9,70.7,72.2,72.8,71.1,71.4,74,74.6
DEB1,Koblenz,74.2,74.1,74.5,75.2,75.2,76.9,77.5,74.8,76.5,78,77.2
DEB2,Trier,75.8,77.6,76.7,76.9,77.9,78.6,79.6,75.4,75.6,79.7,82.7
DEB3,Rheinhessen-Pfalz,73.2,73.3,73.2,73.5,73.7,73.9,74.9,75.2,75.4,75.2,76.6
Dec-00,Saarland,69.9,70.2,70.7,71.9,72.6,73.5,73.6,73.2,74,74.3,74.8
DED2,Dresden,74.7,74.7,75.8,77.3,78,78.1,79.5,78.5,77.8,78.4,79.8
DED4,Chemnitz,75.2,76.2,75.8,76.8,77.8,78.6,78.9,78.9,80.3,79.6,78
DED5,Leipzig,73.3,73.4,73.7,74.9,76.3,77.3,77.3,75.8,76.7,79.3,78.8
DEE0,Sachsen-Anhalt,73.3,72.9,73.6,73.7,73.9,75,75.7,76.1,76,76.6,76.1
DEF0,Schleswig-Holstein,73.7,74.2,74.7,74.1,75.1,75.6,77.4,75.9,77,76.8,76.4
DEG0,Thüringen,75.5,75.5,74.2,75.8,76.6,77.1,77.6,76.9,77.9,77.8,77.8
EE00,Eesti,68.5,69.6,71.4,71.8,73.7,74.4,74.8,73.2,74,76.4,76.2
IE04,Northern and Western,61.3,62.3,64,65.5,67,67.4,68.4,66.7,69.5,72.4,73.4
IE05,Southern,61.5,62.2,64.1,66.2,67.2,66.9,67.4,66.6,68.2,72.1,73
IE06,Eastern and Midland,62.1,64.1,65.4,66.9,68.2,70.2,71.3,68.8,71,74.3,74.9
EL30,Attiki,49.2,50,51,52.8,53.7,54.7,57.6,59,60.8,64,64
EL41,Voreio Aigaio,51.1,49.2,51.3,54.3,56.4,56.6,60.4,59.7,58.9,60.7,62.8
EL42,Notio Aigaio,53.4,54.5,57.9,57.7,58,59.3,60.5,53.6,53.6,59.2,60.9
EL43,Kriti,52,52.5,51.6,53.6,56.9,60.1,61.8,56.4,56.8,62.1,63
EL51,"Anatoliki Makedonia, Thraki",47.7,49.8,50.8,51.9,53.6,55.8,56.6,54.2,54,57.1,59.6
EL52,Kentriki Makedonia,45.2,46.3,49.4,51,51.7,53.3,53.7,53.7,53.9,57.8,59.7
EL53,Dytiki Makedonia,43.2,46.4,45.7,46.3,47.9,49.6,50.6,50.7,52.1,52.3,55.6
EL54,Ipeiros,48.1,48.3,49,50.1,50,52.8,55.1,52.8,50.7,58.2,60.2
EL61,Thessalia,49.6,49,49.2,50.2,53.8,54.4,54.8,55.3,56.2,59.2,58
EL62,Ionia Nisia,57.1,54.4,55.7,57.7,55.3,59.9,59.8,55.6,56.8,58.7,59.5
EL63,Dytiki Elláda,46.1,46.1,47.7,47.1,49.4,50.1,49.7,50.6,54,56.3,59.4
EL64,Sterea Elláda,48.2,49,51.1,50.8,53.6,54.7,55.7,54.5,55.8,60.8,63.2
EL65,Peloponnisos,54.7,54.4,55.1,56.3,59.3,60.5,61.9,62.9,62.4,63.8,65.5
ES11,Galicia,56.1,56.3,57.9,59.8,60.9,62.6,63.8,62.6,63.7,64.6,65.9
ES12,Principado de Asturias,52.4,54.4,55,57.3,59.3,59.4,59.4,58.9,61.2,60.3,61.6
ES13,Cantabria,56.3,57.6,58.9,61.4,62.6,63.5,64.2,61.8,63.9,65,66.4
ES21,País Vasco,61.6,61.8,62.9,65.1,65.4,66.7,67.3,65.8,66.8,68.2,69.9
ES22,Comunidad Foral de Navarra,61.1,63.2,63.7,64.4,67,67.1,68,64.9,66.1,67.6,67.3
ES23,La Rioja,59.9,62.5,64.2,65.4,66.4,67.9,68.7,66.7,68,69.2,69
ES24,Aragón,59.3,60.4,63,65,66.8,67.9,68.8,66.3,68,69.2,69.8
ES30,Comunidad de Madrid,62.5,63.1,65.3,65.6,66.9,67.8,69,66.8,68.8,69.1,69.9
ES41,Castilla y León,56.9,58,59.6,61.9,63.2,64.7,65.5,63.8,64.7,67.3,67.3
ES42,Castilla-La Mancha,51.2,51.8,53.5,55.5,58,59.7,60.8,58.5,61.7,62.8,63.6
ES43,Extremadura,46.6,48.9,49.4,50.7,51.3,53.7,55.7,54.2,56.5,58.8,59.8
ES51,Cataluña,59.8,61.9,63.1,65.5,66.9,67.9,68.6,65.8,67.6,68.8,69.9
ES52,Comunitat Valenciana,53.1,54.6,57.1,59.2,61,62.4,63.3,60.3,61.2,64.2,65.2
ES53,Illes Balears,60.9,61.8,64.5,67,67.2,68,67.6,61.9,65.1,68.6,68.5
ES61,Andalucía,45.3,46.4,48.8,50,52.1,53.6,54.8,52.7,54.7,56.4,57.9
ES62,Región de Murcia,51.7,53.7,53.8,57.1,58.8,59.5,60.9,58.9,61.4,62,62.9
FR10,Ile de France,66.5,66.2,66.2,66.6,67.2,67.8,68.3,67.7,69.8,70.1,70.2
FRB0,Centre — Val de Loire,63.8,63.8,63,64,65.7,66.1,66.7,65.5,68.9,68.8,70.9
FRC1,Bourgogne,63.4,63.3,64.2,63.6,64.6,67.6,67.7,67.1,68.8,69.5,68.9
FRC2,Franche-Comté,64.1,63.5,65.3,68,67.9,68,66.4,68.4,66.9,70.6,72.5
FRD1,Basse-Normandie,64.4,64.8,65,64.7,65.2,67.9,66.2,66.9,68.1,69.2,69.6
FRD2,Haute-Normandie,61.1,61.5,63,62.3,62.3,62.9,63.1,64.9,67.3,68.1,69.2
FRE1,Nord-Pas de Calais,57.4,57.4,57,57.6,57.8,57.7,58.3,59.5,63.1,63.2,63.2
FRE2,Picardie,59.5,60.4,61.8,61.1,64.4,63.1,62.5,61.9,63,65,64.7
