region,year,students,population,general_per_million
AT11,2013,2927.0,286691.0,10209.598487570242
AT11,2014,2870.0,287416.0,9985.526205917555
AT11,2015,2880.0,288356.0,9987.654149731581
AT11,2016,2890.0,291011.0,9930.896082965935
AT11,2017,2930.0,291942.0,10036.240075083406
AT11,2018,2973.0,292675.0,10158.025113180149
AT11,2019,2932.0,293433.0,9992.059516141673
AT11,2020,2876.0,294436.0,9767.827303726446
AT11,2021,2857.0,296010.0,9651.700956048782
AT11,2022,2852.0,297583.0,9583.880799642453
AT11,2023,2840.0,301250.0,9427.385892116183
AT12,2013,17260.0,1618592.0,10663.58909471936
AT12,2014,17323.0,1625485.0,10657.126949802674
AT12,2015,17401.0,1636778.0,10631.252375093018
AT12,2016,17788.0,1653691.0,10756.543997639219
AT12,2017,17779.0,1665753.0,10673.251076239994
AT12,2018,17897.0,1670668.0,10712.481474476077
AT12,2019,17839.0,1677542.0,10634.01095173772
AT12,2020,18174.0,1684287.0,10790.322551916626
AT12,2021,18309.0,1690879.0,10828.095919341362
AT12,2022,18270.0,1698796.0,10754.675664411736
AT12,2023,18069.0,1718373.0,10515.179184030476
AT13,2013,29783.0,1741246.0,17104.418330322078
AT13,2014,29731.0,1766746.0,16828.112247034944
AT13,2015,29971.0,1797337.0,16675.22562546701
AT13,2016,30364.0,1840226.0,16500.14726452077
AT13,2017,30628.0,1867582.0,16399.815376245864
AT13,2018,30901.0,1888776.0,16360.330711529585
AT13,2019,30796.0,1897491.0,16229.853000620295
AT13,2020,31036.0,1911191.0,16239.088610191237
AT13,2021,31232.0,1920949.0,16258.63049982066
AT13,2022,31298.0,1931593.0,16203.206369043583
AT13,2023,31909.0,1982097.0,16098.606677675209
AT21,2013,6268.0,555473.0,11284.076813814534
AT21,2014,6267.0,555881.0,11273.995693322851
AT21,2015,6141.0,557641.0,11012.461422312921
AT21,2016,6165.0,560482.0,10999.461178057458
AT21,2017,6096.0,561077.0,10864.818910773387
AT21,2018,6053.0,560898.0,10791.623432424432
AT21,2019,6215.0,560939.0,11079.636110165276
AT21,2020,6122.0,561293.0,10906.959466802544
AT21,2021,6012.0,562089.0,10695.815075548533
AT21,2022,5839.0,564513.0,10343.428760719416
AT21,2023,5856.0,568984.0,10292.02930135118
AT22,2013,15745.0,1210971.0,13001.962887633148
AT22,2014,15708.0,1215246.0,12925.777990629058
AT22,2015,15363.0,1221570.0,12576.438517645325
AT22,2016,15121.0,1232012.0,12273.41941474596
AT22,2017,15026.0,1237298.0,12144.204548944555
AT22,2018,15187.0,1240214.0,12245.46731451185
AT22,2019,15286.0,1243052.0,12297.152492413832
AT22,2020,15559.0,1246395.0,12483.20155327966
AT22,2021,15559.0,1247077.0,12476.374754726452
AT22,2022,15355.0,1252922.0,12255.351889423284
AT22,2023,15249.0,1265198.0,12052.658951405236
AT31,2013,16204.0,1418498.0,11423.35061452325
AT31,2014,15731.0,1425422.0,11036.030031808124
AT31,2015,15360.0,1437251.0,10687.068577444024
AT31,2016,15328.0,1453948.0,10542.330262155181
AT31,2017,15062.0,1465045.0,10280.912872983423
AT31,2018,14981.0,1473576.0,10166.425077498547
AT31,2019,14969.0,1482095.0,10099.892382067277
AT31,2020,15124.0,1490279.0,10148.435292988763
AT31,2021,15001.0,1495608.0,10030.034607998887
AT31,2022,14914.0,1505140.0,9908.712810768433
AT31,2023,14673.0,1522825.0,9635.38160983698
AT32,2013,8026.0,531898.0,15089.3592380494
AT32,2014,8113.0,534270.0,15185.205981994124
AT32,2015,7984.0,538575.0,14824.304878614863
AT32,2016,8037.0,545815.0,14724.769381567014
AT32,2017,7946.0,549263.0,14466.658049058466
AT32,2018,7839.0,552579.0,14186.206859109738
AT32,2019,7686.0,555221.0,13843.136336701962
AT32,2020,7665.0,558410.0,13726.473379774718
AT32,2021,7709.0,560710.0,13748.640116994524
AT32,2022,7463.0,562606.0,13265.055829479244
AT32,2023,7462.0,568346.0,13129.326149915722
AT33,2013,9042.0,715888.0,12630.46733567262
AT33,2014,8982.0,722038.0,12439.788487586526
AT33,2015,8843.0,728826.0,12133.211493552644
AT33,2016,8761.0,739139.0,11852.980291934264
AT33,2017,8720.0,746153.0,11686.611191002381
AT33,2018,8839.0,751140.0,11767.446814175786
AT33,2019,8743.0,754705.0,11584.658906460141
AT33,2020,8932.0,757634.0,11789.333636030064
AT33,2021,8816.0,760105.0,11598.397589806673
AT33,2022,8621.0,764102.0,11282.525107904443
AT33,2023,8496.0,771304.0,11015.112069949073
AT34,2013,5034.0,372603.0,13510.358209676251
AT34,2014,4959.0,375282.0,13214.063024605497
AT34,2015,4934.0,378592.0,13032.499366072183
AT34,2016,4894.0,384147.0,12739.914668082793
AT34,2017,4860.0,388752.0,12501.543400419805
AT34,2018,4608.0,391741.0,11762.873939669322
AT34,2019,4630.0,394297.0,11742.417517759455
AT34,2020,4525.0,397139.0,11393.995553194221
AT34,2021,4696.0,399237.0,11762.43684828811
AT34,2022,4569.0,401674.0,11374.896059988947
AT34,2023,4632.0,406395.0,11397.778023843797
BE10,2013,41398.0,1165208.0,35528.42067682336
BE10,2014,43259.0,1172751.0,36886.77306606433
BE10,2015,43425.0,1184101.0,36673.391881266885
BE10,2016,43995.0,1201285.0,36623.28256824983
BE10,2017,47145.0,1199095.0,39317.15168522928
BE10,2018,49069.0,1205492.0,40704.542211810614
BE10,2019,47481.0,1215290.0,39069.68707057575
BE10,2020,52157.0,1223364.0,42634.081107503574
BE10,2021,54975.0,1226329.0,44828.91622068792
BE10,2022,56204.0,1228655.0,45744.33018219109
BE10,2023,56630.0,1253178.0,45189.11120367578
BE21,2013,49467.0,1798605.0,27502.981477311583
BE21,2014,49124.0,1806634.0,27190.897547594035
BE21,2015,49814.0,1817033.0,27415.022181765547
BE21,2016,49622.0,1828927.0,27131.755395376636
BE21,2017,50580.0,1838863.0,27506.127427655025
BE21,2018,51746.0,1849523.0,27978.024604181726
BE21,2019,53033.0,1860470.0,28505.16267394798
BE21,2020,50075.0,1873095.0,26733.8282361546
BE21,2021,51075.0,1879318.0,27177.412231458435
BE21,2022,50334.0,1890627.0,26622.913985677766
BE21,2023,50859.0,1915921.0,26545.457772006255
BE22,2013,21467.0,855213.0,25101.349020653335
BE22,2014,21371.0,857844.0,24912.45494518817
BE22,2015,21348.0,861380.0,24783.486962780655
BE22,2016,21079.0,866970.0,24313.413382239294
BE22,2017,21575.0,869664.0,24808.43176215182
BE22,2018,21584.0,872739.0,24731.33433936148
BE22,2019,22017.0,875842.0,25138.095683924726
BE22,2020,21420.0,880602.0,24324.26907956148
BE22,2021,21010.0,883228.0,23787.74223643272
BE22,2022,20641.0,888913.0,23220.495144069217
BE22,2023,20580.0,898619.0,22901.80821905613
BE23,2013,41805.0,1463614.0,28562.85878653798
BE23,2014,41274.0,1471126.0,28056.06045981106
BE23,2015,41022.0,1479049.0,27735.389429288683
BE23,2016,41053.0,1489084.0,27569.2976353248
BE23,2017,41956.0,1498483.0,27998.982971445123
BE23,2018,42429.0,1506232.0,28168.967330397973
BE23,2019,44183.0,1516283.0,29139.019562970767
BE23,2020,44775.0,1526486.0,29332.073795632583
BE23,2021,44630.0,1533876.0,29096.22420586801
BE23,2022,45427.0,1545469.0,29393.666259239104
BE23,2023,45098.0,1563346.0,28847.10102562069
BE24,2013,32330.0,1102907.0,29313.44165917888
BE24,2014,32021.0,1108408.0,28889.18160099891
BE24,2015,32686.0,1114590.0,29325.58160399788
BE24,2016,31800.0,1122600.0,28327.097808658473
BE24,2017,32201.0,1130644.0,28480.228966854287
BE24,2018,31071.0,1138546.0,27290.06996643087
BE24,2019,31120.0,1146643.0,27140.095042659308
BE24,2020,29091.0,1156470.0,25154.997535604034
BE24,2021,27573.0,1163186.0,23704.72134293226
BE24,2022,27217.0,1173956.0,23184.00348905751
BE24,2023,26890.0,1188079.0,22633.17506664119
BE25,2013,29329.0,1175903.0,24941.68311501884
BE25,2014,29197.0,1177935.0,24786.596883529226
BE25,2015,29722.0,1180957.0,25167.724142369283
BE25,2016,29544.0,1184418.0,24943.89649600057
BE25,2017,29327.0,1188407.0,24677.57258245702
BE25,2018,30197.0,1192254.0,25327.65669060452
BE25,2019,30974.0,1196995.0,25876.46564939703
BE25,2020,29459.0,1202352.0,24501.14442359642
BE25,2021,28167.0,1205101.0,23373.14465758472
BE25,2022,28178.0,1210822.0,23271.793872261984
BE25,2023,28785.0,1222004.0,23555.56937620499
BE31,2013,13364.0,389308.0,34327.57610940438
BE31,2014,13457.0,391609.0,34363.357328355574
BE31,2015,13604.0,394344.0,34497.798876108165
BE31,2016,13833.0,397745.0,34778.56415542622
BE31,2017,13960.0,399735.0,34923.136577982914
BE31,2018,14001.0,401508.0,34871.03619355032
BE31,2019,14035.0,404270.0,34716.89712320974
BE31,2020,14077.0,406794.0,34604.73851630064
BE31,2021,14957.0,408325.0,36630.13530888386
BE31,2022,15000.0,410619.0,36530.21414011529
BE31,2023,14811.0,413959.0,35778.905640413665
BE32,2013,30385.0,1331455.0,22820.898941383675
BE32,2014,31126.0,1334423.0,23325.437286377706
BE32,2015,31778.0,1337780.0,23754.279477941065
BE32,2016,32535.0,1341267.0,24256.915289796885
BE32,2017,33092.0,1342053.0,24657.744515306025
BE32,2018,33190.0,1343756.0,24699.424597918074
BE32,2019,33318.0,1346082.0,24751.835326525426
BE32,2020,33266.0,1350295.0,24636.09803783618
