region,general_per_million,year,employment_rate,unemployment_rate,gdp_per_capita,region_label,log_gdp_pc,gdp_growth_t-1,gdp_growth_t-1_pct,gdp_growth_lead,gdp_growth_lead_t+1,vet_per_million,,,,
AT11,27343.03,2013,69.9,4.3,25800,Burgenland,10.15812977,,,0.03053672,3.100774796,10209.59849,,,,
AT11,26901.77,2014,69.8,4.8,26600,Burgenland,10.18866649,0.03053672,3.100774796,0.04771548,4.887218775,9985.526206,,,,
AT11,26425.67,2015,69.6,5.2,27900,Burgenland,10.23638197,0.04771548,4.887218775,0.0212774,2.150537793,9987.65415,,,,
AT11,25401.1,2016,69.8,5.7,28500,Burgenland,10.25765937,0.0212774,2.150537793,0.03448617,3.508771301,9930.896083,,,,
AT11,24909.06,2017,71.1,5.2,29500,Burgenland,10.29214554,0.03448617,3.508771301,0.02013491,2.033898467,10036.24008,,,,
AT11,24641.67,2018,71.8,4.2,30100,Burgenland,10.31228045,0.02013491,2.033898467,0.02298952,2.325581577,10158.02511,,,,
AT11,25228.93,2019,71.9,3.6,30800,Burgenland,10.33526997,0.02298952,2.325581577,-0.03636765,-3.571429134,9992.059516,,,,
AT11,25523.37,2020,72,4.2,29700,Burgenland,10.29890232,-0.03636765,-3.571429134,0.06831925,7.070707716,9767.827304,,,,
AT11,25674.81,2021,71.8,5.1,31800,Burgenland,10.36722157,0.06831925,7.070707716,0.07859027,8.176100132,9651.700956,,,,
AT11,24584.74,2022,73.3,4.3,34400,Burgenland,10.44581184,0.07859027,8.176100132,0.0592557,6.104651565,9583.8808,,,,
AT11,24507.88,2023,73.2,5.2,36500,Burgenland,10.50506754,0.0592557,6.104651565,,,9427.385892,,,,
AT12,27751.28,2013,72.4,5,31100,Niederösterreich,10.3449631,,,0.02539819,2.572347205,10663.58909,,,,S
AT12,27028.86,2014,72.8,5.1,31900,Niederösterreich,10.37036129,0.02539819,2.572347205,0.02476907,2.507837184,10657.12695,,,,
AT12,26282.73,2015,73.1,5.2,32700,Niederösterreich,10.39513036,0.02476907,2.507837184,0.03012276,3.058104032,10631.25238,,,,
AT12,25192.74,2016,73.1,5.2,33700,Niederösterreich,10.42525312,0.03012276,3.058104032,0.03498899,3.560830669,10756.544,,,,
AT12,24642.31,2017,74.3,4.8,34900,Niederösterreich,10.46024211,0.03498899,3.560830669,0.03380603,3.438394781,10673.25108,,,,
AT12,24237.01,2018,74.4,3.8,36100,Niederösterreich,10.49404814,0.03380603,3.438394781,0.04071119,4.155125169,10712.48147,,,,
AT12,24528.75,2019,74.4,4,37600,Niederösterreich,10.53475933,0.04071119,4.155125169,-0.06880292,-6.648936177,10634.01095,,,,
AT12,24628.82,2020,74.1,4.2,35100,Niederösterreich,10.46595641,-0.06880292,-6.648936177,0.06346957,6.552706132,10790.32255,,,,
AT12,24967.49,2021,73.9,5.1,37400,Niederösterreich,10.52942598,0.06346957,6.552706132,0.08701138,9.090909419,10828.09592,,,,
AT12,24908.82,2022,74.7,4,40800,Niederösterreich,10.61643736,0.08701138,9.090909419,0.04082199,4.166666196,10754.67566,,,,
AT12,24870.62,2023,75.3,4.3,42500,Niederösterreich,10.65725935,0.04082199,4.166666196,,,10515.17918,,,,
AT13,24813.27,2013,66,9.3,46700,Wien,10.75149944,,,0.00427351,0.428265447,17104.41833,,,,
AT13,24030.62,2014,64.7,10.2,46900,Wien,10.75577295,0.00427351,0.428265447,0.01271204,1.279318144,16828.11225,,,,
AT13,23401.84,2015,64.6,10.6,47500,Wien,10.76848499,0.01271204,1.279318144,0.0270006,2.736841918,16675.22563,,,,
AT13,22580.38,2016,64.9,11.3,48800,Wien,10.79548559,0.0270006,2.736841918,0,0,16500.14726,,,,
AT13,22390.45,2017,65.3,10.4,48800,Wien,10.79548559,0,0,0.0381956,3.893442858,16399.81538,,,,
AT13,22330.33,2018,66.8,10,50700,Wien,10.83368119,0.0381956,3.893442858,0.02146424,2.169625383,16360.33071,,,,
AT13,22771.12,2019,67.1,9.3,51800,Wien,10.85514543,0.02146424,2.169625383,-0.03536715,-3.47490407,16229.853,,,,
