region,vet_per_million,year,employment_rate,unemployment_rate,gdp_per_capita,region_label,log_gdp_pc
AT11,27343.03,2013,69.9,4.3,25800,Burgenland,10.15812977
AT11,26901.77,2014,69.8,4.8,26600,Burgenland,10.18866649
AT11,26425.67,2015,69.6,5.2,27900,Burgenland,10.23638197
AT11,25401.1,2016,69.8,5.7,28500,Burgenland,10.25765937
AT11,24909.06,2017,71.1,5.2,29500,Burgenland,10.29214554
AT11,24641.67,2018,71.8,4.2,30100,Burgenland,10.31228045
AT11,25228.93,2019,71.9,3.6,30800,Burgenland,10.33526997
AT11,25523.37,2020,72,4.2,29700,Burgenland,10.29890232
AT11,25674.81,2021,71.8,5.1,31800,Burgenland,10.36722157
AT11,24584.74,2022,73.3,4.3,34400,Burgenland,10.44581184
AT11,24507.88,2023,73.2,5.2,36500,Burgenland,10.50506754
AT12,27751.28,2013,72.4,5,31100,Niederösterreich,10.3449631
AT12,27028.86,2014,72.8,5.1,31900,Niederösterreich,10.37036129
AT12,26282.73,2015,73.1,5.2,32700,Niederösterreich,10.39513036
AT12,25192.74,2016,73.1,5.2,33700,Niederösterreich,10.42525312
AT12,24642.31,2017,74.3,4.8,34900,Niederösterreich,10.46024211
AT12,24237.01,2018,74.4,3.8,36100,Niederösterreich,10.49404814
AT12,24528.75,2019,74.4,4,37600,Niederösterreich,10.53475933
AT12,24628.82,2020,74.1,4.2,35100,Niederösterreich,10.46595641
AT12,24967.49,2021,73.9,5.1,37400,Niederösterreich,10.52942598
AT12,24908.82,2022,74.7,4,40800,Niederösterreich,10.61643736
AT12,24870.62,2023,75.3,4.3,42500,Niederösterreich,10.65725935
AT13,24813.27,2013,66,9.3,46700,Wien,10.75149944
AT13,24030.62,2014,64.7,10.2,46900,Wien,10.75577295
AT13,23401.84,2015,64.6,10.6,47500,Wien,10.76848499
AT13,22580.38,2016,64.9,11.3,48800,Wien,10.79548559
AT13,22390.45,2017,65.3,10.4,48800,Wien,10.79548559
AT13,22330.33,2018,66.8,10,50700,Wien,10.83368119
AT13,22771.12,2019,67.1,9.3,51800,Wien,10.85514543
AT13,22511.09,2020,65.5,10.7,50000,Wien,10.81977828
AT13,23043.3,2021,66.2,12.1,53800,Wien,10.89302875
AT13,22854.71,2022,67.8,9.2,56500,Wien,10.94199592
AT13,22295.58,2023,67.4,9.6,59500,Wien,10.99373159
AT21,33200.53,2013,69.4,5.5,32200,Kärnten,10.37972173
AT21,32429.6,2014,69.2,6,33500,Kärnten,10.41930072
AT21,30928.5,2015,69,6.1,33900,Kärnten,10.43117029
AT21,29822.55,2016,69.9,5.4,34500,Kärnten,10.4487146
AT21,28889.08,2017,70.5,4.8,35800,Kärnten,10.48570317
AT21,28584.52,2018,71.8,4.1,37500,Kärnten,10.53209621
AT21,28965.72,2019,72.2,3.8,38700,Kärnten,10.56359488
AT21,29054.34,2020,70.2,4.7,37700,Kärnten,10.53741537
AT21,29322.76,2021,70.7,5.6,40100,Kärnten,10.59913161
AT21,28899.25,2022,72.5,4.5,44300,Kärnten,10.69873996
AT21,28187.08,2023,72.8,4.5,46800,Kärnten,10.75363848
AT22,28627.44,2013,71.1,4.7,34100,Steiermark,10.43705266
AT22,28007.5,2014,70.7,5,35100,Steiermark,10.46595641
AT22,27128.2,2015,70.8,4.7,35700,Steiermark,10.48290597
AT22,26144.23,2016,71.4,5.1,37000,Steiermark,10.51867319
AT22,25524.17,2017,72.2,4.5,38700,Steiermark,10.56359488
AT22,25460.93,2018,73.2,4,39600,Steiermark,10.5865844
AT22,25626.44,2019,74.7,3.2,41100,Steiermark,10.6237634
AT22,25882.65,2020,73.3,4.4,39300,Steiermark,10.5789798
AT22,25923.82,2021,72.9,4.3,41800,Steiermark,10.64065162
AT22,25558.65,2022,74.7,3.7,45700,Steiermark,10.72985358
AT22,24932.07,2023,75.2,4.3,48300,Steiermark,10.78518684
AT31,36511.15,2013,74.4,4.3,39000,Oberösterreich,10.57131693
AT31,35365.67,2014,74.9,4.1,39900,Oberösterreich,10.5941316
AT31,34303.68,2015,74.8,4.1,41000,Oberösterreich,10.62132735
AT31,32906.27,2016,75.5,4.5,41800,Oberösterreich,10.64065162
AT31,32114.37,2017,75.8,4,43200,Oberösterreich,10.67359577
AT31,31477.85,2018,76.2,3.2,45000,Oberösterreich,10.71441777
AT31,31746.28,2019,77.1,2.9,46300,Oberösterreich,10.74289724
AT31,31762.51,2020,76,3.9,44500,Oberösterreich,10.70324447
AT31,31714.19,2021,76.3,3.8,47400,Oberösterreich,10.76637751
AT31,30858.92,2022,77.7,2.9,51100,Oberösterreich,10.84153978
AT31,30455.24,2023,77.7,3.5,53600,Oberösterreich,10.88930435
AT32,37610.59,2013,75.4,3.2,43800,Salzburg,10.6873891
AT32,36241.98,2014,73.7,3.5,44400,Salzburg,10.70099475
AT32,35582.79,2015,74.1,3.5,46000,Salzburg,10.73639668
AT32,33791.67,2016,75.1,3.4,47700,Salzburg,10.77268668
AT32,33158.98,2017,75.6,3.1,48800,Salzburg,10.79548559
AT32,32918.37,2018,77,2.8,50500,Salzburg,10.82972862
AT32,32952.64,2019,77.2,2.4,52200,Salzburg,10.86283777
AT32,32895.18,2020,76.1,3,50200,Salzburg,10.82377031
AT32,33314.9,2021,75.5,4.6,52500,Salzburg,10.86856845
AT32,32477.44,2022,77.7,3,59700,Salzburg,10.9970873
AT32,31962.92,2023,78.1,3,63700,Salzburg,11.06193984
AT33,35621.49,2013,74.8,3.1,39300,Tirol,10.5789798
AT33,34228.12,2014,74.2,3.2,39800,Tirol,10.59162219
AT33,33466.15,2015,74.3,3,41400,Tirol,10.63103616
AT33,31689.57,2016,74.3,3.5,42400,Tirol,10.65490364
AT33,30732.3,2017,74.8,3.3,43600,Tirol,10.68281243
AT33,30214.07,2018,76,2.4,45300,Tirol,10.72106231
AT33,30505.96,2019,76.5,2.1,46800,Tirol,10.75363848
AT33,30351.07,2020,74.9,3.1,44000,Tirol,10.69194491
AT33,30274.76,2021,74.1,4.8,44500,Tirol,10.70324447
AT33,30413.48,2022,77.8,3.2,51200,Tirol,10.84349481
AT33,30014.11,2023,77.4,3.1,54200,Tirol,10.90043619
AT34,35386.19,2013,74.1,3.6,40200,Vorarlberg,10.60162227
AT34,34190.29,2014,74.8,3.4,41500,Vorarlberg,10.63344871
AT34,33582.33,2015,75.1,3.5,44300,Vorarlberg,10.69873996
AT34,31610.3,2016,76.7,3.4,43900,Vorarlberg,10.6896696
AT34,30973.47,2017,76.3,3.7,45500,Vorarlberg,10.7254676
AT34,30885.2,2018,76.8,3.3,48700,Vorarlberg,10.79343431
AT34,31382.44,2019,77.1,3.2,47300,Vorarlberg,10.76426557
AT34,30883.39,2020,76.8,3.6,45700,Vorarlberg,10.72985358
AT34,30743.64,2021,76.2,4.1,51400,Vorarlberg,10.84739345
AT34,29902.36,2022,76.8,3.2,58900,Vorarlberg,10.98359637
AT34,29358.14,2023,77.3,3.4,54600,Vorarlberg,10.90778916
BE10,41389.18,2013,52.5,19.2,63400,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,11.05721914
BE10,42368.76,2014,54.3,18.3,64500,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,11.0744205
BE10,41944.06,2015,54.2,17.3,66100,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,11.09892403
BE10,42465.36,2016,55.3,16.8,66700,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,11.10796023
BE10,39307.14,2017,56.2,14.9,68400,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,11.1331281
BE10,38402.58,2018,56.8,13.2,69600,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,11.15051985
BE10,37993.4,2019,56.9,12.6,71700,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,11.18024603
BE10,36903.98,2020,56.5,12.3,68800,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,11.13895902
BE10,32655.18,2021,57.3,12.4,73800,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,11.20911401
BE10,32992.99,2022,59.9,11.4,78700,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,11.27339843
BE10,34102.1,2023,61,10.6,82100,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,11.3156933
BE21,43127.87,2013,64,6.2,41100,Prov. Antwerpen,10.6237634
BE21,41761.09,2014,64.1,6.1,42000,Prov. Antwerpen,10.6454249
BE21,40518.25,2015,64.8,6.1,43600,Prov. Antwerpen,10.68281243
BE21,40312.71,2016,63.9,6.1,44900,Prov. Antwerpen,10.71219307
BE21,38631.48,2017,65.5,5.9,46100,Prov. Antwerpen,10.73856823
BE21,37703.78,2018,67.7,4.4,47400,Prov. Antwerpen,10.76637751
BE21,37969.98,2019,69.3,3.6,49100,Prov. Antwerpen,10.80161431
BE21,35487.79,2020,67.7,4,47600,Prov. Antwerpen,10.77058804
BE21,33344.01,2021,67.7,5.2,51400,Prov. Antwerpen,10.84739345
BE21,32983.77,2022,70.8,4,57500,Prov. Antwerpen,10.95954023
BE21,35158.03,2023,70.5,3.6,59400,Prov. Antwerpen,10.99204951
BE22,50417.85,2013,64.1,5.5,28700,Prov. Limburg (BE),10.2646524
BE22,49784.11,2014,64.1,5.6,29700,Prov. Limburg (BE),10.29890232
BE22,46913.09,2015,63.8,6,29900,Prov. Limburg (BE),10.30561376
BE22,45071.92,2016,64.8,4.8,30800,Prov. Limburg (BE),10.33526997
BE22,43200.59,2017,67.1,4.1,32000,Prov. Limburg (BE),10.37349118
BE22,42419.33,2018,67.8,3.8,32900,Prov. Limburg (BE),10.40122794
BE22,41953.91,2019,68.1,3.6,33600,Prov. Limburg (BE),10.42228135
BE22,41185.46,2020,67,3.6,32200,Prov. Limburg (BE),10.37972173
BE22,38093.22,2021,68.4,3.4,35300,Prov. Limburg (BE),10.47163824
BE22,37058.74,2022,70.3,3.5,39100,Prov. Limburg (BE),10.57387775
BE22,39240.21,2023,71.6,3.2,40700,Prov. Limburg (BE),10.61398337
BE23,44332.73,2013,68.5,4,31900,Prov. Oost-Vlaanderen,10.37036129
BE23,44401.36,2014,68.3,4.3,32500,Prov. Oost-Vlaanderen,10.38899537
BE23,44381.22,2015,67.6,4.4,33800,Prov. Oost-Vlaanderen,10.42821608
BE23,40867.41,2016,68.3,4.2,34800,Prov. Oost-Vlaanderen,10.45737267
BE23,38586.36,2017,68.1,3.4,36100,Prov. Oost-Vlaanderen,10.49404814
BE23,38629.51,2018,70.4,2.7,36800,Prov. Oost-Vlaanderen,10.51325312
BE23,37688.87,2019,71.5,2.9,37900,Prov. Oost-Vlaanderen,10.54270639
