GEO (Codes),GEO (Labels),2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,19.2,18.3,17.3,16.8,14.9,13.2,12.6,12.3,12.4,11.4,10.6
BE21,Prov. Antwerpen,6.2,6.1,6.1,6.1,5.9,4.4,3.6,4,5.2,4,3.6
BE22,Prov. Limburg (BE),5.5,5.6,6,4.8,4.1,3.8,3.6,3.6,3.4,3.5,3.2
BE23,Prov. Oost-Vlaanderen,4,4.3,4.4,4.2,3.4,2.7,2.9,2.7,2.8,2,2.9
BE24,Prov. Vlaams-Brabant,5.5,5,5.1,4.8,4.7,3.6,3.6,3.9,4,3.6,4.2
BE25,Prov. West-Vlaanderen,3.9,4.2,4.2,3.7,3.2,2.6,2.5,3.3,3.6,2.7,2.8
BE31,Prov. Brabant wallon,8.2,8.9,7.9,7.9,7.6,6.9,5.5,6.2,6.8,5.5,5.7
BE32,Prov. Hainaut,13.3,14.4,13.3,11.8,11.4,10,8.6,8.3,10.3,10.5,9.3
BE33,Prov. Liège,11.7,12.3,12.9,11.1,10.5,8.2,6.7,7.8,9.4,8.3,9.1
BE34,Prov. Luxembourg (BE),7.9,8.5,9.3,7.8,6.7,5.4,5.4,5.1,5.6,4.8,6.5
BE35,Prov. Namur,10.4,8.9,10.9,9.7,7.4,8.5,7,6.1,7.6,7.2,6.6
BG31,Severozapaden,14,14.2,12.1,10.6,11.3,11.3,10.6,12.7,10.9,6.8,7.8
BG32,Severen tsentralen,15.3,13.2,10.6,9.3,6.9,6.7,5.1,5.7,6.7,5.8,6
BG33,Severoiztochen,16.8,12.7,10.3,9.8,9.4,7.4,5.9,6,5.9,5.3,4.5
BG34,Yugoiztochen,13,11.9,10.4,7.9,7,5.4,3.9,4.5,5.5,4.4,4.6
BG41,Yugozapaden,9.8,8.9,6.7,5.4,3.3,2.6,2.2,3.5,3.4,3.1,3.5
BG42,Yuzhen tsentralen,13.5,12,9.3,7.1,5.3,4.2,3,3.4,3.9,2.9,3.1
CZ01,Praha,3.1,2.5,2.8,2.2,1.7,1.3,1.3,2.3,2.3,1.6,2.1
CZ02,Střední Čechy,5.2,5.1,3.5,3.1,2.1,2,1.3,1.9,2.5,1.2,1.7
CZ03,Jihozápad,5.2,5.5,3.9,3.1,2.1,1.5,1.5,2,2.4,1.7,1.9
CZ04,Severozápad,9.6,8.7,7.3,5.2,3.4,3.4,3,4,4.3,3.3,4.1
